name	ATSA	ATSB	ATSpam	ATSvar	CIDRa	CIDRb	CIDRd	CIDRg	CIDRpam	DBLa	DBLb	DBLd	DBLe	DBLepam	DBLg	DBLpam	DBLz	NTSA	NTSB	NTSpam
Pf_DD2_03801																				
IT4var28		ATSB6			CIDRa3.1	CIDRb5				DBLa0.4		DBLd1							NTSB2	
IT4var29		ATSB20			CIDRa3.2			CIDRg5		DBLa0.3		DBLd1							NTSB3	
IT4var26		ATSB1			CIDRa3.3	CIDRb1				DBLa0.23		DBLd1							NTSB3	
IT4var27		ATSB2			CIDRa3.1	CIDRb1				DBLa0.6	DBLb5	DBLd1			DBLg5				NTSB3	
IT4var24		ATSB1			CIDRa2.2			CIDRg5		DBLa0.10		DBLd1							NTSB3	
IT4var25		ATSB8			CIDRa2.4	CIDRb1				DBLa0.11		DBLd1							NTSB3	
IT4var22	ATSA3				CIDRa1.7	CIDRb1				DBLa1.4	DBLb3	DBLd1			DBLg10			NTSA2		
IT4var23		ATSB10			CIDRa3.1			CIDRg10		DBLa0.1		DBLd1							NTSB3	
IT4var20		ATSB16			CIDRa1.1	CIDRb1				DBLa2	DBLb12	DBLd1			DBLg6				NTSB3	
IT4var21		ATSB14			CIDRa3.1	CIDRb1				DBLa0.1		DBLd1							NTSB3	
PFD0615c		ATSB10			CIDRa3.1	CIDRb1				DBLa0.17		DBLd1							NTSB3	
IGHvar07		ATSB4			CIDRa2.3	CIDRb1				DBLa0.5	DBLb8	DBLd1			DBLg5				NTSB3	
IGHvar06		ATSB13			CIDRa3.1	CIDRb6				DBLa0.24		DBLd1							NTSB3	
IGHvar05		ATSB9			CIDRa3.4			CIDRg5		DBLa0.3		DBLd1			DBLg10				NTSB3	
IGHvar04		ATSB21			CIDRa3.1	CIDRb1				DBLa0.1		DBLd1							NTSB3	
IGHvar03		ATSB4			CIDRa2.6	CIDRb1				DBLa0.5		DBLd1							NTSB3	
IGHvar02		ATSB23			CIDRa3.1			CIDRg4		DBLa0.18		DBLd1			DBLg5				NTSB3	
