name	NTS
IT4var28	NTSB2
IT4var29	NTSB3
IT4var26	NTSB3
IT4var27	NTSB3
IT4var24	NTSB3
IT4var25	NTSB3
IT4var22	NTSA2
IT4var23	NTSB3
IT4var20	NTSB3
IT4var21	NTSB3
PFD0615c	NTSB3
IGHvar07	NTSB3
IGHvar06	NTSB3
IGHvar05	NTSB3
IGHvar04	NTSB3
IGHvar03	NTSB3
IGHvar02	NTSB3
IGHvar01	NTSB3
PFL0030c	NTSpam
IGHvar09	NTSA3
IGHvar08	NTSB3
PFD0625c	NTSB3
PF07_0049	NTSB3
PF07_0048	NTSB3
PFCLINvar64	NTSB3
PFCLINvar65	NTSB3
PFCLINvar66	NTSB3
PFCLINvar67	NTSB3
PFCLINvar60	NTSB1
PFCLINvar61	NTSB6
PFCLINvar62	NTSA7
PFCLINvar63	NTSB2
DD2var03	NTSA4
PFCLINvar68	NTSA7
DD2var04	NTSA5
DD2var07	NTSB3
DD2var06	NTSpam
PFD0005w	NTSB3
PFL1950w	NTSB3
RAJ116var33	NTSB6
IT4var68	NTSB3
IT4var62	NTSB3
IT4var63	NTSB3
IT4var60	NTSA7
IT4var61	NTSB3
IT4var66	NTSB3
IT4var67	NTSB3
IT4var64	NTSA5
MAL6P1.252	NTSB1
RAJ116var28	NTSB3
DD2var45	NTSB3
DD2var44	NTSB3
DD2var47	NTSB3
DD2var46	NTSB3
DD2var41	NTSB3
DD2var40	NTSA7
DD2var43	NTSA3
DD2var42	NTSA5
DD2var49	NTSA8
DD2var48	NTSB3
PFI1820w	NTSA3
PFCLINvar25	NTSB3
PFCLINvar11	NTSB3
DD2var30	NTSB3
DD2var31	NTSB3
DD2var32	NTSA6
DD2var33	NTSB3
DD2var34	NTSB3
PFF0020c	NTSA3
DD2var36	NTSB1
DD2var37	NTSB3
DD2var38	NTSB4
DD2var39	NTSB3
DD2var01a	NTSB3
DD2var01b	NTSB3
RAJ116var18	NTSB3
RAJ116var19	NTSA7
RAJ116var10	NTSB3
