name	CIDRa_subdomain	DBLa_subdomain
DD2var01a	CIDRa3.1	DBLa0.6
DD2var01b	CIDRa3.1	DBLa0.6
DD2var03		DBLa1.5
DD2var04		DBLa1.6
DD2var06		
DD2var07	CIDRa2.3	DBLa0.16
DD2var09a	CIDRa1.5	DBLa1.2
DD2var09b		DBLa1.5
DD2var10	CIDRa3.2	DBLa0.15
DD2var11	CIDRa3.2	DBLa0.15
DD2var12	CIDRa3.3	DBLa0.24
DD2var13	CIDRa3.5	DBLa0.8
DD2var15	CIDRa3.1	DBLa0.4
DD2var16	CIDRa2.3	DBLa0.19
DD2var18	CIDRa2.2	DBLa0.5
DD2var19	CIDRa2.2	DBLa0.10
DD2var20	CIDRa2.7	DBLa0.9
DD2var21	CIDRa5	DBLa0.3
DD2var22		DBLa1.6
DD2var23	CIDRa3.1	DBLa0.9
DD2var24	CIDRa3.2	DBLa0.15
DD2var25	CIDRa1.2	DBLa1.1
DD2var26	CIDRa2.3	DBLa0.19
DD2var28	CIDRa6	DBLa0.4
DD2var29	CIDRa3.4	DBLa0.16
DD2var30	CIDRa3.1	DBLa0.6
DD2var31	CIDRa2.6	DBLa0.5
DD2var32	CIDRa1.4	DBLa1.7
DD2var33	CIDRa2.1	DBLa0.9
DD2var34	CIDRa3.1	DBLa0.1
DD2var35	CIDRa3.1	DBLa0.2
DD2var36	CIDRa2.1	DBLa0.21
DD2var37	CIDRa3.2	DBLa0.3
DD2var38	CIDRa2.1	DBLa0.21
DD2var39	CIDRa2.8	DBLa0.10
DD2var40	CIDRa1.5	DBLa1.2
DD2var41	CIDRa3.4	DBLa0.16
DD2var42	CIDRa1.7	DBLa1.2
DD2var43	CIDRa1.5	DBLa1.2
DD2var44	CIDRa3.1	DBLa0.23
DD2var45	CIDRa3.1	DBLa0.1
DD2var46	CIDRa2.5	DBLa0.5
DD2var47	CIDRa1.1	DBLa2
DD2var48	CIDRa3.1	DBLa0.6
DD2var49	CIDRa1.7	DBLa1.2
DD2var50	CIDRa3.1	DBLa0.22
DD2var51	CIDRa3.2	DBLa0.1
DD2var52		DBLa1.5
HB3var01		DBLa1.6
HB3var02	CIDRa1.6	DBLa1.4
HB3var03	CIDRa1.4	DBLa1.7
HB3var04		DBLa1.5
HB3var05		DBLa1.6
HB3var06		DBLa1.5
HB3var07	CIDRa2.4	DBLa0.9
HB3var08	CIDRa2.7	DBLa0.9
HB3var09	CIDRa2.3	DBLa0.11
HB3var10	CIDRa3.1	DBLa0.6
HB3var11	CIDRa2.1	DBLa0.12
HB3var12	CIDRa2.2	DBLa0.7
HB3var13	CIDRa3.2	DBLa0.15
HB3var14	CIDRa3.4	DBLa0.7
HB3var16	CIDRa2.2	DBLa0.9
HB3var17	CIDRa3.1	DBLa0.6
HB3var18	CIDRa3.2	DBLa0.15
HB3var19	CIDRa2.2	DBLa0.12
HB3var1csa	CIDRa1.2	DBLa1.1
HB3var20	CIDRa2.5	DBLa0.5
HB3var21	CIDRa5	DBLa0.4
HB3var22	CIDRa2.2	DBLa0.8
HB3var23	CIDRa3.1	DBLa0.7
HB3var24	CIDRa3.1	DBLa0.1
HB3var25	CIDRa3.1	DBLa0.23
HB3var26	CIDRa3.5	DBLa0.8
HB3var27	CIDRa3.1	DBLa0.1
HB3var28	CIDRa2.8	DBLa0.19
HB3var29	CIDRa3.2	DBLa0.2
HB3var2csaA		
HB3var2csaB		
HB3var30	CIDRa3.2	DBLa0.1
HB3var31	CIDRa3.2	DBLa0.1
HB3var32	CIDRa3.1	DBLa0.15
HB3var33	CIDRa3.1	DBLa0.22
HB3var34	CIDRa6	DBLa0.4
HB3var35	CIDRa3.2	DBLa0.1
HB3var36	CIDRa3.2	DBLa0.4
HB3var39		DBLa0.12
HB3var40	CIDRa3.4	DBLa0.7
HB3var47	CIDRa2.3	DBLa0.11
HB3var48	CIDRa6	DBLa0.4
HB3var50	CIDRa3.2	DBLa0.1
HB3var52		
IGHvar01	CIDRa3.2	DBLa0.15
IGHvar02	CIDRa3.1	DBLa0.18
IGHvar03	CIDRa2.6	DBLa0.5
IGHvar04	CIDRa3.1	DBLa0.1
IGHvar05	CIDRa3.4	DBLa0.3
IGHvar06	CIDRa3.1	DBLa0.24
IGHvar07	CIDRa2.3	DBLa0.5
IGHvar08	CIDRa4	DBLa0.14
IGHvar09	CIDRa1.5	DBLa1.2
IGHvar10		DBLa1.4
IGHvar11	CIDRa1.2	DBLa1.1
IGHvar12		DBLa1.8
IGHvar13	CIDRa3.3	DBLa0.14
IGHvar14	CIDRa1.6	DBLa1.1
IGHvar15	CIDRa5	DBLa0.8
IGHvar16	CIDRa2.4	DBLa0.11
IGHvar17	CIDRa2.3	DBLa0.5
IGHvar18	CIDRa3.1	DBLa0.22
